id_doc 	page_pdf	page_book 	constr_type 	conjunction 	special_word 	meaning_Shvedova	meaning 	formula 	 formula_new 	year_first_using 	text_first_using 	year_last_using 	text_last_using 	other_examples	comments																				
18	59	119	причинная	но как	то	причинно-следственное	причинно-следственное	но как clause, то clause	но как clause, то clause	1698	И уже сей пост был отчаян, но как одна рота первая, потом командированных еще две от гвардии Преображенской под командою капитана Головина в помочь пришли (а наши тогда уже отбиты были до самого моста), то так мужественно шпагами назад на неприятеля бросились, которого удивително (понеже уже наш вал им яко борствер, и сверх того свои пушки они имели, себя обороняющия) отбили и, с великим смущением их прогнав, паки засели и одержали. [А. М. Макаров (ред.). Гистория Свейской войны (Поденная записка Петра Великого) (1698-1721)]	2011	Впечатляющее признание собственной тёплости («Но как ты тёпл, а не горяч и не холоден, то извергну тебя из уст Моих». [Борис Фаликов. Неоязычники на марше // «Наука и религия», 2011]																						
19	59	119	причинная	но как	то и	причинно-следственное	причинно-следственное	но как clause, то и clause	но как clause, то и clause	1761	Но как честолюбие пределов не имеет, то и бобр тем не совсем был доволен. [Д. И. Фонвизин. Великий стихотворец [перевод басни Л. Хольберга с немецкого] (1761-1765)] 	1974	? Смотри, пана, не покайся, ? предупредил Аким, и мы пошли сначала бойко, но как залезли в переплетенные, лежащие на земле тальники, то и понял я сразу, отчего опытные таежники долго обходили эту речку стороной, ? здесь самые что ни на есть джунгли, только сибирские, и называются они точно и метко ? шарагой, вертепником и просто дурниной. [Виктор Астафьев. Царь-рыба (1974)] 																						
20	59	119	причинная	ибо как	0	объяснение	объяснение	clause, ибо как clause	clause, ибо как clause	1698	Потом вскоре неприятель вышел на 6 судах с неболшими пушками и по наших в форштат стрелял, но никакова вреда учинить не мог, ибо как ис Питер-шанец по них стали ис пушек стрелять, тогда паки поворотились назад. [А. М. Макаров (ред.). Гистория Свейской войны (Поденная записка Петра Великого) (1698-1721)] 	2013	Ибо как Иона был во чреве кита три дня и три ночи, так и сын человеческий будет в сердце земли три дня и три ночи! [Дмитрий Шляпентох. Конец Истории: благословенный Иов // «Сибирские огни», 2013]																						
21	59	119	причинная	ибо как	то	причинно-следственное	причинно-следственное	clause, ибо как clause, то clause	clause, ибо как clause, то clause	1725	По окончание же оного, оную деревянную плотину выломали и выбрали в неколико часов, ибо как скоро груз сняли и воды в док сквозь малые щели наполнилось, то оной запор всплыл наверх и розсыпался врознь. [В. Н. Татищев. Выписка из поденного журнала об осмотре им арбугского канала и портовых сооружений в Карлскруне (1725)]	1948	Ибо как Российский канцлер сиятельнейший граф Воронцов, министр благородством, знатностью и благоприятством во всей Европе знаменитый, о вас предложил (не думайте, чтобы Академия наша не приняла в рассуждение особливых и несравненных ваших достоинств: слава имени вашего и дозде достигла), то всяк, кто о том услышал, признал, что вы от такой особы, каков есть вышереченный граф Воронцов, представлены быть достойны». [Л. Б. Модзалевский. Ломоносов о своих трудах (1948)]																						
22	60	120	причинная	так как	0	объяснение	объяснение	clause, так как clause	clause, так как clause	1716	Посланник спросил, чтоб он не погневался, чтоб сидеть на стуле, понеже необыкновенному, так как они сидят не без труда. [Переписка и дела во время посольства Артемия Волынского (1716-1718)] 	2015	Так как мы не замечаем, что когда любим, уже стараемся учитывать интересы другого, а в этом нам помогает совесть. [А. Бондарук. Иерархия души, или Как не воспитать бессовестного человека (2015.11.08)] 																						
23	60	120	причинная	так как	то	причинно-следственное	причинно-следственное	Так как clause, то clause	Так как clause, то clause	1731	Так как они теперь должны бы были быть передо мной, то я должен выразить вам глубокую признательность за оказанную в этом услугу. [В. Н. Татищев. Письмо И. Д. Шумахеру (1731)]	2015	Так как тюрьма была маленькая, то зимой людей держали на так называемом Тюремный остров. [Д. Рощеня. Василий Ханевич: «Колпашевский яр — символ нашего забвения» (2015.11.06)]																						
24	60	120	причинная	а так как	то	причинно-следственное	причинно-следственное	clause, а так как clause, то clause	clause, а так как clause, то clause	1780	Птичник, построенный в конце луга и противу самого дома, служит ему украшением, а так как вид из оного прямо на Кремль, то и сделана открытая перемычка в задней стене среднего кабинета, служащего столовою для завтраков. [Н. А. Львов. Каким образом должно бы было расположить сад князя Безбородки в Москве (1780-1790)] 	2014	А так как эта замша из кожи ягненка, то и на ощупь вещь великолепна. [Потребление // «Эксперт», 2014] 																						
25	60	121	следственная	так что	0	причинно-следственное	причинно-следственное	clause, так что clause	clause, так что clause	1682	И как он [генерал] июля 12 дня к Петербурху пришел, и стал на берегу против острова, и почал стрелять на тот остров по строению, то наши с того острова из линей и с батарей, тако ж и с кораблей из пушек по нем жестоко начали стрелять, так что он, не мешкав, паки принужден был оступить, и скоростию, как шею сломя, паки назад с немалым уроном ушел. [И. А. Желябужский. Дневные записки (1682-1709)]	2015	Причем, мы сделали шаблоны для всех религий, так что они все нам были очень благодарны. [протоиерей Владимир (Воробьев), А. А. Данилова. Невероятные приключения теологии в России (2015.10.12)]																						
26	60	121	следственная	так	0	причинно-следственное	причинно-следственное	clause: так clause	clause: так clause	1717	"Во тме бо египетской не виде никто же брата своего, яко же глаголет писание, но в лице не виде; в сем же сумраце изменническом никто же не виде в сердце брата своего: так невозможно было знати, что кто думает, наш ли есть или от сопротивньгх, и египетская тьма три дни только была, а тма сия тяжкая восемь месяцей помрачила. [архиепископ Феофан (Прокопович). Слово похвалное о баталии Полтавской (1717)]"	2015	Первопроходцами САПР были авиастроители: так, кампания Dassault Systemes тоже родилась из французского авиационного предприятия Avians Магсеl Dassault. [Александр Механик. Бизнес со скоростью света // «Эксперт», 2015]																						
27	60	121	следственная	так	0	обуславливание	обуславливание	так clause	так clause	1698	И так друг другу обязались крепкими словами о дружбе без писменного обязательства и розъехались, и взял государь путь свой к Москве. [А. М. Макаров (ред.). Гистория Свейской войны (Поденная записка Петра Великого) (1698-1721)] 	2016	[Таниа серебро ручной работы, nick] И это же немножко прошлое, сейчас в Татарстане так не живут и так не одеваются. [коллективный. «Разрешите представить: гениальный художник Ирик Мусин и его бесконечно искренние работы». Обсуждение статьи (2016)] 																						
28	61	122	следственная	что	0	причинно-следственное	причинно-следственное	clause, что clause	clause, что clause	1717	Умолчим ли убо и не воспомянем ли, что виде сей восемь лет назад на Полтавском поле? [архиепископ Феофан (Прокопович). Слово похвалное о баталии Полтавской (1717)]	2016	[Артквилт Наталии Турчаниновой, nick] Сафронова потому и знают, что он работает на заказ да еще и менеджер сам себе, а Мусин работает от души и сердца… и это весьма известный художник… [коллективный. «Разрешите представить: гениальный художник Ирик Мусин и его бесконечно искренние работы». Обсуждение статьи (2016)] 																						
29	51	102	условная	если	0	условие	условие	если clause, VP	если clause, clause	1692	И он, Федька, говорил: если так над отцом его учинится, и он, Федька, его, великого государя, съехався убьет” [И. А. Желябужский. Дневные записки]	2016	Цены придется снизить, если новичок будет их демпинговать. [коллективный. В Нижнем Новгороде откроется Федеральный электронный дискаунтер TechnoPoint]																						
30	51	102	условная	если	то	условие	условие	если clause, то  clause	если clause, то  clause	1717	Если се кто назовет умствование наше риторское и если то не в самой вещи было, то, молю, которая могла быть причина оной рижской укоризне и гонению смертному на Петра, монарха нашего, умышленному чрез Далберда коменданта? [архиепископ Феофан [Прокопович]. Слово похвалное о баталии Полтавской ]	2011	Простите, если мужчина обязан заботиться, то почему такой обязанности нет у женщины. [коллективный. Форум: 12 часов в день? Не могу согласиться с М. Прохоровым ]																						
31	51	102	условная	ежели	0	условие	условие	ежели clause, clause	если clause, clause	1709	А ежели помещик за вышеписанные места, также за лес, дрова и уголья желать будет цену несносную, и о том требовать определения в коллегии. [[Петр I]. Берг-привилегия]	2015	А ежели в разных местах разный состав? [коллективный. Пол на небольшом участке, кто поможет вскрыть? Нужен бур по бетону 50мм]																						
32	51	102	условная	ежели	то	условие	условие	ежели VP, то VP	если clause, то  clause	1698	И ежели б наша конница по должности своей поступала, то бы мочно уповать о виктории, но оная побежала чрез реку Нарову вплавь, в которой болше 1000 человек потонуло.[А. М. Макаров [ред.]. Гистория Свейской войны [Поденная записка Петра Великого] [1698-1721] ]	2003	Ведь если это поле вздыбится так, то может стать непреодолимой преградой, а ежели эдак? то вынести прямиком на чемпионский пьедестал. [Иван Макушок. Подставные [2003] // «Советская Россия»]																						
33	51	103	условная	когда	тогда	условие	условие	когда clause, тогда clause	когда clause, тогда clause	1698	Но когда Вейдова дивизия пошла, тогда неприятель не токмо у них ружье и знамена стал отымать, но и платье и протчее с них грабити. [А. М. Макаров [ред.]. Гистория Свейской войны [Поденная записка Петра Великого]]	2011	А когда всем надоест, тогда уже и начнутся реальные проекты…[коллективный. Форум: 12 часов в день? Не могу согласиться с М. Прохоровым]																						
34	51	103	условная	коли	0	условие	условие	коли clause, clause	если clause, clause	1735	«И вестимо, ? отвечала баба, ? коли мы вдвое получим». [Попова корова]	2015	Поскольку если ещё не сделаны, то, очевидно, сделаны уже и не будут: какие же инвестиции, коли кредит по тридцать процентов? [Александр Привалов. Об идеальном шторме // «Эксперт»]																						
35	51	103	условная	коли	то	условие	условие	коли clause, то clause	если clause, то  clause	1750	Коли такъ, то намъ съ нею и въ пять л?тъ не справиться будетъ. [М. В. Ломоносов. Судъ Россїйскихъ письменъ передъ разумомъ и обычаемъ отъ грамматики представленныхъ]	2003	Чтобы, значит, коли кто приедет на машине, то пусть оставляет её за воротами, а в заповедник и в церковь пешком идёт. [Круши, чтобы не думать [2003] // «Криминальная хроника»]																						
36	51	103	условная	коли	так	условие	условие	коли clause, так clause	коли clause, так clause	1750	Коли меня будешь слушать, так этому вперед ничему не бывать. [А. П. Сумароков. Ссора у мужа с женой]	2013	А коли у вас чешутся руки, так запишитесь в кружок, вас там в два счета научат делать самолет! [Алексей Моторов. Преступление доктора Паровозова]																						
37	51	103	условная	коль	0	условие	условие	коль clause, clause	если clause, clause	1718	Видим, коликая в народе радость, коль благоприятное сретение[архиепископ Феофан (Прокопович). Слово о власти и чести царской…]	2015	А коль доминируют экранные технологии, ключевое слово здесь ? помнить. [коллективный. Слова не выкинешь // «Русский репортер»]																						
38	51	103	условная	коль	так	условие	условие	коль clause, так clause	коли clause, так clause	1782	Да коль доказывать, что ученье вздор, так возьмём дядю Вавилу Фалелеича. [Д. И. Фонвизин. Недоросль]	2011	А коль вы вспомнили про заряды ? так лучше перейти к разности потенциалов, как причине возникновения электрического тока. [коллективный. Форум: Утро]																						
39	51	103	условная	коль скоро	0	условие	условие	коль скоро clause, clause	как скоро clause, clause	1723	И со удивлением разсуди, коль скоро вся вкоренишася, коль скоро вся звания своего плоды начата прозябати! [Гавриил [Бужинский]. Похвальное слово, произнесенное в празднуемый уже в 52-й раз день рождения всепресветлейшего и державнейшего Петра Великого]	2015	Приглашают всегда только в будущее, это да, но коль скоро многие из этих приглашений не более, чем фигура речи, почему бы с таким же успехом не пригласить в прошлое? [Сергей Носов. Фигурные скобки]																						
40	51	103	условная	как скоро	0	условие	условие	как скоро clause, clause	как скоро clause, clause	1698	Но как скоро он, генерал-лейтенант, о том уведомился, тотчас послал ко всем драгунским полкам указы, чтоб оные против неприятеля были готовы. [А. М. Макаров [ред.]. Гистория Свейской войны [Поденная записка Петра Великого]]	2015	Причем успешность этой организации оценивается вовсе не по тому, как живется там детям, а по тому, как скоро всех детей, переданных на временное содержание, удастся раздать в семьи. [Ольга Филина. Дела семейные // «Огонек»]																						
41	51	103	условная	как	так	условие	условие	как clause, так clause	как clause, так clause	1698	И потом оной генерал-маеор Бутурлин приехал в дивизию Вейдову осведомитца подлинно о ево состоянии, где обрел как ево, генерала Вейда самого, так и полковников некоторых, как выше помянуто, раненых, и возвратясь к генералитету, о том объявил. [А. М. Макаров [ред.]. Гистория Свейской войны [Поденная записка Петра Великого]]	2015	Люди как покупали детские книги, так и продолжают их покупать. [М. В. Строганова. Московская книжная ярмарка: дети читают, православные — не очень]																						
42	52	104	условная	буде	то	условие	условие	буде clause, то clause	если clause, то clause	1698	Буде же пойдет на сикурс, то от Гадича отступить, а Аларту в Ромны вступить, дабы одно из двух зделать, что и последовало. [А. М. Макаров [ред.]. Гистория Свейской войны [Поденная записка Петра Великого]]	2009	Он более не был капитаном, однакож мы желаем ему быть в службе нашей капитаном 1-го ранга, а буде не примет, то обещайте ему чин капитан-командора, понеже у нас сей чин против бригадира» [Олег Ноздрин. Первый настоящий лорд // «Родина»]																						
43	52	104	условная	если бы	0	ирреальность	ирреальность	если бы clause, clause	если бы clause, clause	1717	Много бы того произвести мощно, если бы о том едином слово было. [архиепископ Феофан (Прокопович). Слово похвалное о баталии Полтавской]	2015	Если бы они не убили царя со всеми родственниками, Гражданская война могла бы продлиться дольше и повлечь намного больше жертв. [Н. Л. Холмогорова. Переименование «Войковской»: 12 аргументов против]																						
